customer_id,first_name,last_name,age,gender,address,city,contact_number,email
1,Joshua,Hall,45,Male,Address_1,Fort Worth,19458794854,joshua.hall@kag.com
2,Mark,Taylor,47,Female,Address_2,Louisville,19458794855,mark.taylor@kag.com
3,Joseph,Flores,25,Female,Address_3,Philadelphia,19458794856,joseph.flores@kag.com
4,Kevin,Lee,52,Other,Address_4,Oklahoma City,19458794857,kevin.lee@kag.com
5,Linda,Johnson,68,Other,Address_5,Phoenix,19458794858,linda.johnson@kag.com
6,Charles,Torres,52,Male,Address_6,El Paso,19458794859,charles.torres@kag.com
7,Joshua,Garcia,43,Male,Address_7,,19458794860,joshua.garcia@kag.com
8,Christopher,Baker,47,Male,Address_8,Memphis,19458794861,christopher.baker@kag.com
9,Daniel,Moore,52,Male,Address_9,Indianapolis,19458794862,daniel.moore@kag.com
10,William,Robinson,55,Other,Address_10,,19458794863,william.robinson@kag.com
11,William,Perez,28,Male,Address_11,San Diego,19458794864,william.perez@kag.com
12,Nancy,Allen,37,Female,Address_12,Oklahoma City,19458794865,nancy.allen@kag.com
13,Margaret,Robinson,63,Female,Address_13,Columbus,19458794866,margaret.robinson@kag.com
14,Michelle,Taylor,48,Female,Address_14,Colorado Springs,19458794867,michelle.taylor@kag.com
15,Nancy,Nelson,51,Other,Address_15,Atlanta,19458794868,nancy.nelson@kag.com
16,Michael,Young,29,Male,Address_16,Fresno,19458794869,michael.young@kag.com
17,Lisa,Adams,65,Female,Address_17,Austin,19458794870,lisa.adams@kag.com
18,Mary,Wilson,45,Female,Address_18,,19458794871,mary.wilson@kag.com
19,Nancy,Martinez,20,Other,Address_19,Tucson,19458794872,nancy.martinez@kag.com
20,Amanda,Campbell,65,Other,Address_20,Milwaukee,19458794873,amanda.campbell@kag.com
21,Ashley,Scott,59,Other,Address_21,,19458794874,ashley.scott@kag.com
22,Donna,King,69,Female,Address_22,San Antonio,19458794875,donna.king@kag.com
23,Mary,Rodriguez,22,Other,Address_23,El Paso,19458794876,mary.rodriguez@kag.com
24,Charles,Adams,30,Female,Address_24,,19458794877,charles.adams@kag.com
25,Steven,Ramirez,29,Male,Address_25,,19458794878,steven.ramirez@kag.com
26,Barbara,Hernandez,18,Female,Address_26,Chicago,19458794879,barbara.hernandez@kag.com
27,Lisa,Wilson,69,Male,Address_27,Kansas City,19458794880,lisa.wilson@kag.com
28,Amanda,Hill,60,Female,Address_28,Oklahoma City,19458794881,amanda.hill@kag.com
29,Matthew,Campbell,36,Male,Address_29,Fresno,19458794882,matthew.campbell@kag.com
30,Ronald,Jackson,46,Female,Address_30,Baltimore,19458794883,ronald.jackson@kag.com
31,Anthony,Anderson,64,Female,Address_31,San Francisco,19458794884,anthony.anderson@kag.com
32,Carol,Ramirez,67,Female,Address_32,Jacksonville,19458794885,carol.ramirez@kag.com
33,Betty,White,65,Female,Address_33,Sacramento,19458794886,betty.white@kag.com
34,Jessica,Davis,56,Other,Address_34,,19458794887,jessica.davis@kag.com
35,Joseph,Nelson,59,Female,Address_35,Seattle,19458794888,joseph.nelson@kag.com
36.0,Timothy,Rodriguez,42,Female,,Portland,19458794889,timothy.rodriguez@kag.com
37,Amanda,Campbell,33,Other,Address_37,Mesa,19458794890,amanda.campbell@kag.com
38,Michael,Allen,34,Other,Address_38,El Paso,19458794891,michael.allen@kag.com
39,Paul,Allen,45,Other,Address_39,Albuquerque,19458794892,paul.allen@kag.com
40,John,Jackson,56,Other,Address_40,Jacksonville,19458794893,john.jackson@kag.com
41,Charles,Williams,60,Other,Address_41,Austin,19458794894,charles.williams@kag.com
42,David,Martinez,66,Other,Address_42,Kansas City,19458794895,david.martinez@kag.com
43.0,Joshua,Flores,22,Other,Address_43,Philadelphia,19458794896,joshua.flores@kag.com
44,Karen,Campbell,18,Other,Address_44,Fresno,19458794897,karen.campbell@kag.com
45,Patricia,Adams,20,Other,Address_45,Mesa,19458794898,patricia.adams@kag.com
46,Matthew,Smith,65,Other,,Atlanta,19458794899,matthew.smith@kag.com
47,Susan,Lewis,41,Other,Address_47,San Francisco,19458794900,susan.lewis@kag.com
48,Stephanie,Roberts,46,Male,Address_48,Omaha,19458794901,stephanie.roberts@kag.com
49,David,King,32,Female,Address_49,Omaha,19458794902,david.king@kag.com
50,Sandra,Gonzalez,21,Female,Address_50,Fort Worth,19458794903,sandra.gonzalez@kag.com
51,Mary,Smith,61,Other,Address_51,Nashville,19458794904,mary.smith@kag.com
52,Sarah,King,18,Other,Address_52,Omaha,19458794905,sarah.king@kag.com
53,Betty,Lewis,66,Male,Address_53,Denver,19458794906,betty.lewis@kag.com
54,Timothy,Mitchell,32,Other,Address_54,Chicago,19458794907,timothy.mitchell@kag.com
55,John,Campbell,41,Male,Address_55,Seattle,19458794908,john.campbell@kag.com
56,Amanda,Gonzalez,69,Female,Address_56,Denver,19458794909,amanda.gonzalez@kag.com
57,Linda,Mitchell,48,Female,Address_57,Philadelphia,19458794910,linda.mitchell@kag.com
58,Timothy,Carter,37,Other,Address_58,,19458794911,timothy.carter@kag.com
59,Andrew,Lewis,27,Male,Address_59,San Diego,19458794912,andrew.lewis@kag.com
60,Susan,Hill,28,Male,Address_60,Seattle,19458794913,susan.hill@kag.com
61,Thomas,White,35,Female,Address_61,Colorado Springs,19458794914,thomas.white@kag.com
62,Margaret,Sanchez,51,Female,Address_62,Fort Worth,19458794915,margaret.sanchez@kag.com
63,Stephanie,Taylor,45,Male,Address_63,Jacksonville,19458794916,stephanie.taylor@kag.com
64,Michelle,Miller,55,Male,Address_64,San Antonio,19458794917,michelle.miller@kag.com
65,Patricia,Gonzalez,33,Female,Address_65,New York,19458794918,patricia.gonzalez@kag.com
66,Mary,Jones,41,Male,Address_66,Mesa,19458794919,mary.jones@kag.com
67,Jennifer,Sanchez,56,Female,Address_67,Nashville,19458794920,jennifer.sanchez@kag.com
68,Carol,Carter,68,Male,Address_68,Atlanta,19458794921,carol.carter@kag.com
69,Patricia,Williams,29,Other,,Las Vegas,19458794922,patricia.williams@kag.com
70,Mark,Miller,67,Female,Address_70,Boston,19458794923,mark.miller@kag.com
71,Karen,Carter,59,Male,Address_71,San Antonio,19458794924,karen.carter@kag.com
72,Sandra,Hill,24,Female,Address_72,San Francisco,19458794925,sandra.hill@kag.com
73,Amanda,Smith,53,Male,,Memphis,19458794926,amanda.smith@kag.com
